ID;Precio (€/mes);Tipo;Telefonos;Ciudad;Dirección;Barrio;Habitaciones;Baños;Area (m2);Planta;Ascensor;Terraza;Parking;Calefacción;Aire;Balcón;Precio del m2 (€/m2)
163055062;150;Piso;953114231;Jaén Capital;;;4;2;120;1;True;False;False;False;False;False;1.25
163054304;650;Piso;953115713;Jaén Capital;;;2;2;105;2;False;True;False;False;False;False;6.190476190476191
163053805;600;Piso;;Jaén Capital;Calle D Rafael Ortega Sagrista;San Ildefonso - Catedral;2;1;90;;True;False;False;False;False;True;6.666666666666667
160150429;600;Ático;953114869;Jaén Capital;Calle del Rastro;Avda de Madrid - Pº de la Estación;4;2;182;6;True;False;False;False;False;False;3.2967032967032965
163037717;450;Piso;953380135;Jaén Capital;Calle de San Clemente;San Bartolomé - Millán de Priego;3;2;90;1;False;False;False;False;True;False;5.0
163035223;2000;Casa o chalet;953115713;Jaén Capital;;;9;8;570;;False;True;False;False;False;True;3.508771929824561
163033751;550;Piso;;Jaén Capital;Avenida de Andalucía;Santa Isabel;2;1;62;;False;False;False;False;True;True;8.870967741935484
163030726;430;Apartamento;953115713;Jaén Capital;;;1;1;55;;False;False;False;True;False;False;7.818181818181818
163024430;475;Apartamento;953113238;Jaén Capital;;;2;1;65;3;True;False;False;False;False;False;7.3076923076923075
163020007;535;Piso;;Jaén Capital;Calle Fuente del Alamillo;Valdeastillas - Fuentezuelas;2;1;60;;True;False;True;False;False;False;8.916666666666666
163006232;450;Piso;953114029;Jaén Capital;;;3;1;92;3;True;False;False;False;False;False;4.891304347826087
163001545;600;Piso;620275763;Jaén Capital;;;3;2;110;3;True;False;False;False;False;False;5.454545454545454
162963026;200;Piso;953115976;Jaén Capital;;;2;1;100;3;False;False;False;False;True;False;2.0
162962965;450;Piso;953115976;Jaén Capital;;;2;1;75;1;False;False;False;False;False;True;6.0
162959847;390;Apartamento;953114865;Jaén Capital;Avenida de Andalucía;Peñamefecit - Avda Barcelona;1;1;46;4;True;False;False;False;False;False;8.478260869565217
162959637;400;Piso;953114539;Jaén Capital;;;1;1;45;2;False;False;False;False;False;True;8.88888888888889
162959364;410;Apartamento;953114865;Jaén Capital;Avenida de Andalucía;Peñamefecit - Avda Barcelona;2;1;65;8;True;False;False;False;False;False;6.3076923076923075
162957912;600;Ático;953114865;Jaén Capital;Calle Navas de Tolosa;Avda de Madrid - Pº de la Estación;3;2;100;5;True;False;False;False;False;False;6.0
160292229;650;Apartamento;953113318;Jaén Capital;;;1;1;52;1;True;False;False;False;False;False;12.5
162954551;450;Piso;953114239;Jaén Capital;Conserje Enrique López;San Ildefonso - Catedral;1;1;30;;False;False;False;False;True;True;15.0
162941028;650;Piso;953114539;Jaén Capital;;;3;2;89;2;True;False;False;False;False;False;7.303370786516854
162940272;650;Piso;953114539;Jaén Capital;;;4;2;140;7;True;False;False;False;False;False;4.642857142857143
162939925;600;Piso;953114539;Jaén Capital;;;3;1;70;1;False;False;False;False;False;False;8.571428571428571
